序号,类别,名称,规格型号,数量,单位,预估单价_元,预估小计_元,备注与采购关键词
1,电气,12V直流减速电机,输出扭矩≥3.5N·m 额定转速20-50rpm 轴径6-8mm,1,个,120,120,与方案A同款 与电气BOM共用
2,电气,H桥驱动模块,L298N 或 TB6612FNG 12V 2A,1,个,20,20,与电气BOM共用
3,机械,曲柄,圆盘或臂 半径50-80mm 与电机轴固定 可加工或成品曲柄盘,1,个,35,35,保证60°摆动 与连杆铰接
4,机械,连杆,长80-150mm 两端铰接孔 M4,1,根,28,28,铝合金或钢 与曲柄/摇杆连接
5,机械,摇杆,与末端执行器固连 长度与曲柄连杆匹配 铰接孔M4,1,根,32,32,实现挥下-抬起单侧摆动
6,机械,鱼眼接头/关节轴承,M4 杆端关节轴承 或 鱼眼接头,4,个,6,24,曲柄-连杆×1 连杆-摇杆×1 共2处×2
7,机械,铰接轴/销轴,M4×20~30 不锈钢 带卡簧槽,4,个,3,12,与鱼眼配合
8,紧固,螺栓螺母,M4 不锈钢 法兰面防松,1,套,12,12,铰接与电机轴固定
9,机械,电机轴连接件,电机轴与曲柄固定 键槽或顶丝,1,个,18,18,联轴器或定制法兰
10,机械,限位挡块,可选 防止过行程,2,个,5,10,首版可省略
,,,,"","","","小计",305,,
,,,,"","","","合计约",305,元 不含税与运费,
