序号,类别,名称,规格型号,数量,单位,预估单价_元,预估小计_元,备注与采购关键词
1,电气,12V直流减速电机,输出扭矩≥3.5N·m 额定转速20-50rpm 轴径6-8mm,1,个,120,120,淘宝/1688搜"12V减速电机 大扭矩 低速"
2,电气,H桥驱动模块,L298N 或 TB6612FNG 12V 2A,1,个,20,20,与电气BOM共用
3,机械,摆臂,铝合金型材或碳纤维杆 长250-300mm 转轴到质心,1,根,45,45,轻量化 截面约20x20mm或圆管φ10-12
4,机械,光轴,直径8mm 长80-120mm 不锈钢,1,根,18,18,与摆臂转轴配合
5,机械,法兰轴承,608ZZ 或 8mm内径法兰轴承,2,个,8,16,支撑转轴
6,机械,轴承座/法兰座,8mm 固定用,2,个,12,24,或3D打印/铝块加工
7,机械,联轴器,6-8mm 电机轴与光轴,1,个,15,15,弹性联轴器 可省若直连
8,紧固,螺丝螺母垫片,M4 M5 不锈钢 若干,1,套,15,15,固定电机 轴承座 摆臂
9,机械,限位挡块/限位片,可选 抬起位与拍击位,2,个,5,10,微动开关触发用 首版可省略
,,,,"","","","小计",283,,
,,,,"","","","合计约",283,元 不含税与运费,
